Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome
Bonamici Suzanne,2012, Oregon, D, H,6057015,60, N00033474,,,-0.441,54067.0,
Bonamici Suzanne,2011, Oregon, D, H,3897019,80, N00033474,,,-0.441,54067.0,
Booker Cory,2013, New Jersey, D, S,299510,88, N00035267,,,-0.493,64670.0,
Booker Cory,2012, New Jersey, D, S,476009,83, N00035267,,,0.0,64670.0,
Boozman John,2013, Arkansas, R, S,3613505,38, N00013873,,,0.578,40760.0,
Boozman John,2012, Arkansas, R, S,3564006,37, N00013873,,,0.578,40760.0,
Boozman John,2011, Arkansas, R, S,3388506,41, N00013873,,,0.578,40760.0,
Boozman John,2010, Arkansas, R, S,3405505,45, N00013873,,,0.0,40760.0,
Boozman John,2009, Arkansas, R, S,1156006,-1, N00013873,,,0.0,40760.0,
Boozman John,2008, Arkansas, R, S,1864507,117, N00013873,,,0.0,40760.0,
Boozman John,2007, Arkansas, R, S,1041005,175, N00013873,,,0.0,40760.0,
Boozman John,2006, Arkansas, R, S,1033505,181, N00013873,,,0.0,40760.0,
Boozman John,2005, Arkansas, R, S,1057004,172, N00013873,,,0.0,40760.0,
Bordallo Madeleine Z,2013, Guam, D, S,5465004,-1, N00024866,,,,,
Bordallo Madeleine Z,2012, Guam, D, S,5147504,72, N00024866,,,,,
Bordallo Madeleine Z,2011, Guam, D, S,5147504,68, N00024866,,,,,
Bordallo Madeleine Z,2010, Guam, D, S,4940503,65, N00024866,,,,,
Bordallo Madeleine Z,2009, Guam, D, S,4916003,60, N00024866,,,,,
Bordallo Madeleine Z,2008, Guam, D, S,4565003,63, N00024866,,,,,
Bordallo Madeleine Z,2007, Guam, D, S,4190002,76, N00024866,,,,,
Bordallo Madeleine Z,2006, Guam, D, S,3632503,91, N00024866,,,,,
Bordallo Madeleine Z,2005, Guam, D, S,1682503,145, N00024866,,,,,
Boustany Charles W Jr,2013, Louisiana, R, H,1283780,180, N00026595,,,0.692,40462.0,
Boustany Charles W Jr,2012, Louisiana, R, H,695269,239, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2011, Louisiana, R, H,631428,246, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2010, Louisiana, R, H,1384945,160, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2009, Louisiana, R, H,491575,262, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2008, Louisiana, R, H,352883,284, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2007, Louisiana, R, H,381503,284, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2006, Louisiana, R, H,481003,264, N00026595,,,0.422,40462.0,
Boustany Charles W Jr,2005, Louisiana, R, H,481003,253, N00026595,,,0.422,40462.0,
Boxer Barbara,2013, California, D, S,3221004,45, N00006692,,,-0.488,56883.0,
Boxer Barbara,2012, California, D, S,3331504,41, N00006692,,,-0.486,56883.0,
Boxer Barbara,2011, California, D, S,3263504,42, N00006692,,,-0.486,56883.0,
Boxer Barbara,2010, California, D, S,3449004,44, N00006692,,,-0.484,56883.0,
Boxer Barbara,2009, California, D, S,3406004,45, N00006692,,,-0.484,56883.0,
Boxer Barbara,2008, California, D, S,3208504,43, N00006692,,,-0.482,56883.0,
Boxer Barbara,2007, California, D, S,3230005,40, N00006692,,,-0.482,56883.0,
Boxer Barbara,2006, California, D, S,3415005,39, N00006692,,,-0.48,56883.0,
Boxer Barbara,2005, California, D, S,3513005,37, N00006692,,,-0.48,56883.0,
Brady Kevin,2013, Texas, R, H,469514,276, N00005883,,,0.767,52169.0,
Brady Kevin,2012, Texas, R, H,453513,280, N00005883,,,0.538,52169.0,
Brady Kevin,2011, Texas, R, H,486014,267, N00005883,,,0.538,52169.0,
Brady Kevin,2010, Texas, R, H,551515,250, N00005883,,,0.538,52169.0,
Brady Kevin,2009, Texas, R, H,535516,253, N00005883,,,0.538,52169.0,
Brady Kevin,2008, Texas, R, H,535516,236, N00005883,,,0.538,52169.0,
Brady Kevin,2007, Texas, R, H,468016,266, N00005883,,,0.538,52169.0,
Brady Kevin,2006, Texas, R, H,541014,251, N00005883,,,0.538,52169.0,
Brady Kevin,2005, Texas, R, H,524015,243, N00005883,,,0.538,52169.0,
Brady Robert A,2013, Pennsylvania, D, H,1640504,164, N00001619,,,-0.408,52768.0,
Brady Robert A,2012, Pennsylvania, D, H,1640504,167, N00001619,,,-0.498,52768.0,
Brady Robert A,2011, Pennsylvania, D, H,1640504,166, N00001619,,,-0.498,52768.0,
Brady Robert A,2010, Pennsylvania, D, H,1640504,149, N00001619,,,-0.498,52768.0,
Brady Robert A,2009, Pennsylvania, D, H,1141505,171, N00001619,,,-0.498,52768.0,
Brady Robert A,2008, Pennsylvania, D, H,1641004,128, N00001619,,,-0.498,52768.0,
Brady Robert A,2007, Pennsylvania, D, H,766505,208, N00001619,,,-0.498,52768.0,
Brady Robert A,2006, Pennsylvania, D, H,966505,187, N00001619,,,-0.498,52768.0,
Brady Robert A,2005, Pennsylvania, D, H,766505,199, N00001619,,,-0.498,52768.0,
