Name,Year,State,Party,Chamber,NetWorth,NetWorthRank,OSID,DistrictMedInc,District,DW Nominate,State Median Income,MedianIncome,YearlyChange,WealthGrowthIndex
Boehner John,2010, Ohio, R, H,4092054,74, N00003675,,,0.526,45887.0,,521507.0,-0.047580439203711224
Boehner John,2011, Ohio, R, H,3621057,88, N00003675,,,0.0,45887.0,,-470997.0,-0.11863750241213485
Boehner John,2012, Ohio, R, H,3924561,92, N00003675,,,0.0,45887.0,,303504.0,0.050339788262225044
Boehner John,2013, Ohio, R, H,4556563,84, N00003675,,,0.747,45887.0,,632002.0,0.010046192048079355
Bonamici Suzanne,2011, Oregon, D, H,3897019,80, N00033474,,,-0.441,54067.0,,0.0,-0.0563885883386638
Bonamici Suzanne,2012, Oregon, D, H,6057015,60, N00033474,,,-0.441,54067.0,,2159996.0,0.16691287287365433
Bonamici Suzanne,2013, Oregon, D, H,4603520,81, N00033474,,,-0.414,54067.0,,-1453495.0,-0.38969963900971677
Booker Cory,2012, New Jersey, D, S,476009,83, N00035267,,,0.0,64670.0,,0.0,0.031282126030495926
Booker Cory,2013, New Jersey, D, S,299510,88, N00035267,,,-0.493,64670.0,,-176499.0,-0.1449264135975098
Boozman John,2005, Arkansas, R, S,1057004,172, N00013873,,,0.0,40760.0,,0.0,
Boozman John,2006, Arkansas, R, S,1033505,181, N00013873,,,0.0,40760.0,,-23499.0,-0.005343521464817165
Boozman John,2007, Arkansas, R, S,1041005,175, N00013873,,,0.0,40760.0,,7500.0,-0.1333039108333351
Boozman John,2008, Arkansas, R, S,1864507,117, N00013873,,,0.0,40760.0,,823502.0,0.31052991625166076
Boozman John,2009, Arkansas, R, S,1156006,-1, N00013873,,,0.0,40760.0,,-708501.0,-0.22137901091555215
Boozman John,2010, Arkansas, R, S,3405505,45, N00013873,,,0.0,40760.0,,2249499.0,0.07426938019116194
